reaction_id	probability	complex_diagnostic	complex_details	putative_GPR
rxn03159	0	HASCOMPLEXES	///kb|cpx.546 (0.0000; CPLX_NOTTHERE) 	
rxn03150	0	HASCOMPLEXES	///kb|cpx.1215 (0.0000; CPLX_NOTTHERE) 	
rxn05436	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn05437	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn05434	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn05435	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn05432	0	HASCOMPLEXES	///kb|cpx.89 (0.0000; CPLX_NOTTHERE) 	
rxn05433	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn05430	0	HASCOMPLEXES	///kb|cpx.147 (0.0000; CPLX_NOTTHERE) 	
rxn05431	0	HASCOMPLEXES	///kb|cpx.94 (0.0000; CPLX_NOTTHERE) 	
rxn04430	0	HASCOMPLEXES	///kb|cpx.50227 (0.0000; CPLX_NOREPS) 	
rxn05438	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn05439	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn00836	0.00229854441495252	HASCOMPLEXES	///kb|cpx.605 (0.0023; CPLX_FULL) 	fig|267377.1.peg.1356
rxn00837	0	HASCOMPLEXES	///kb|cpx.1363 (0.0000; CPLX_NOTTHERE) 	
rxn00834	0.963491854463422	HASCOMPLEXES	///kb|cpx.1329 (0.9635; CPLX_FULL) 	fig|267377.1.peg.133
rxn00835	0.20242799271858	HASCOMPLEXES	///kb|cpx.350 (0.2024; CPLX_FULL) 	fig|267377.1.peg.418
rxn00832	0.901237936499324	HASCOMPLEXES	///kb|cpx.574 (0.0000; CPLX_NOTTHERE) ///kb|cpx.782 (0.8683; CPLX_FULL) ///kb|cpx.783 (0.9012; CPLX_FULL) ///kb|cpx.51151 (0.0000; CPLX_NOTTHERE) 	fig|267377.1.peg.1373 or fig|267377.1.peg.1310
rxn00830	0.986334803153431	HASCOMPLEXES	///kb|cpx.1171 (0.0000; CPLX_NOTTHERE) ///kb|cpx.1172 (0.9863; CPLX_FULL) 	fig|267377.1.peg.43
rxn00831	0.0525779960217389	HASCOMPLEXES	///kb|cpx.863 (0.0526; CPLX_FULL) 	fig|267377.1.peg.1201
rxn00838	0.986168395337551	HASCOMPLEXES	///kb|cpx.1562 (0.9862; CPLX_FULL) 	fig|267377.1.peg.1432
rxn00839	0.981008221413384	HASCOMPLEXES	///kb|cpx.356 (0.9810; CPLX_FULL) 	fig|267377.1.peg.283
rxn00952	0.504413561048024	HASCOMPLEXES	///kb|cpx.40 (0.5044; CPLX_FULL) 	fig|267377.1.peg.12
rxn27049	0	HASCOMPLEXES	///kb|cpx.51299 (0.0000; CPLX_NOREPS) 	
rxn27047	0	HASCOMPLEXES	///kb|cpx.51299 (0.0000; CPLX_NOREPS) 	
rxn05328	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn05329	0	HASCOMPLEXES	///kb|cpx.93 (0.0000; CPLX_NOTTHERE) ///kb|cpx.94 (0.0000; CPLX_NOTTHERE) 	
rxn06673	0	HASCOMPLEXES	///kb|cpx.1052 (0.0000; CPLX_NOTTHERE) 	
rxn24089	0	HASCOMPLEXES	///kb|cpx.51110 (0.0000; CPLX_NOREPS) ///kb|cpx.50720 (0.0000; CPLX_NOREPS) 	
rxn24087	0	HASCOMPLEXES	///kb|cpx.50819 (0.0000; CPLX_NOREPS) 	
rxn05323	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn15940	0	HASCOMPLEXES	///kb|cpx.50757 (0.0000; CPLX_NOREPS) 	
rxn06672	0.00407829595517931	HASCOMPLEXES	///kb|cpx.1771 (0.0041; CPLX_FULL) 	(fig|267377.1.peg.119 and fig|267377.1.peg.341)
rxn05326	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn05327	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn05324	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn05325	0	HASCOMPLEXES	///kb|cpx.149 (0.0000; CPLX_NOTTHERE) 	
rxn00239	0	HASCOMPLEXES	///kb|cpx.869 (0.0000; CPLX_NOTTHERE) 	
rxn00231	0	HASCOMPLEXES	///kb|cpx.730 (0.0000; CPLX_NOTTHERE) 	
rxn00940	0	HASCOMPLEXES	///kb|cpx.51160 (0.0000; CPLX_NOREPS) 	
rxn00941	0	HASCOMPLEXES	///kb|cpx.967 (0.0000; CPLX_NOTTHERE) 	
rxn00947	0.512379791599011	HASCOMPLEXES	///kb|cpx.499 (0.1273; CPLX_FULL) ///kb|cpx.498 (0.5124; CPLX_FULL) 	fig|267377.1.peg.566
rxn00237	0.981008221413384	HASCOMPLEXES	///kb|cpx.356 (0.9810; CPLX_FULL) 	fig|267377.1.peg.283
rxn01102	0	HASCOMPLEXES	///kb|cpx.1713 (0.0000; CPLX_NOTTHERE) ///kb|cpx.50154 (0.0000; CPLX_NOTTHERE) ///kb|cpx.1712 (0.0000; CPLX_NOTTHERE) 	
rxn17707	0	HASCOMPLEXES	///kb|cpx.51210 (0.0000; CPLX_NOREPS) 	
rxn01451	0	HASCOMPLEXES	///kb|cpx.382 (0.0000; CPLX_NOTTHERE) 	
rxn27684	0	HASCOMPLEXES	///kb|cpx.811 (0.0000; CPLX_NOTTHERE) 	
rxn00331	0	HASCOMPLEXES	///kb|cpx.1045 (0.0000; CPLX_NOTTHERE) 	
